Food,Calories,Protein,Fat,Carbs,Fiber
bread,278.0,8.7,3.3,50.1,2.6
cottage cheese,97.3,11.2,4.2,3.4,0.0
naan,332.7,9.1,6.1,55.0,2.0
pasta,225.4,8.1,5.2,36.5,2.5
falafel,349.3,13.6,17.9,32.4,5.8
halwa,317.3,3.0,14.2,49.8,1.0
dal makhani,171.4,9.2,8.3,20.9,5.0
peanut butter toast,265.2,10.2,13.8,27.3,3.0
naan,323.9,8.8,5.9,58.0,2.0
french fries,310.1,3.4,15.5,39.4,3.7
onion,41.6,1.1,0.1,9.7,1.7
chicken breast,161.2,31.2,3.5,0.0,0.0
mac and cheese,308.1,12.3,12.5,41.1,1.6
kidney beans,131.3,8.4,0.5,23.4,6.4
qorma,240.0,17.6,15.6,8.4,0.5
aloo gosht,180.2,12.7,9.6,9.2,1.2
jalebi,362.1,2.0,9.7,68.6,0.3
lentils,111.5,9.0,0.4,19.3,8.1
steak,264.2,25.4,17.3,0.0,0.0
tomato,18.9,0.9,0.2,3.9,1.2
dates,263.8,1.8,0.2,76.1,6.7
paratha,333.2,7.4,13.7,42.6,2.1
egg,154.0,12.4,11.2,1.1,0.0
paye,190.1,17.6,12.4,2.1,0.0
omelette,151.7,11.1,11.1,1.6,0.0
chicken tikka,194.6,25.9,8.7,2.0,0.3
french fries,320.8,3.4,14.5,40.2,3.6
banana,92.7,1.1,0.3,22.2,2.5
palak paneer,223.9,12.4,14.3,7.7,2.9
green tea,1.9,0.0,0.0,0.5,0.0
green tea,2.0,0.0,0.0,0.5,0.0
beef tacos,234.0,11.6,10.6,19.2,3.1
milk,58.3,3.3,3.3,4.9,0.0
pizza slice,273.9,10.5,9.6,32.1,2.2
lentils,110.4,8.7,0.4,20.2,7.6
kheer,146.1,4.0,5.2,21.8,0.2
almonds,568.3,21.6,49.4,21.0,12.1
qorma,252.3,18.5,16.3,7.7,0.5
orange juice,111.3,1.7,0.5,25.9,0.5
ayran,55.7,2.9,2.5,5.2,0.0
spinach,23.3,3.0,0.4,3.5,2.2
banana,91.4,1.1,0.3,22.9,2.7
samosa,267.5,5.0,13.5,29.5,2.2
chicken biryani,210.6,13.4,8.4,25.5,0.9
mixed vegetables,52.3,2.5,0.5,9.8,3.5
dal makhani,173.4,9.4,8.1,20.5,4.8
french fries,306.8,3.5,15.4,39.5,4.0
orange juice,113.8,1.7,0.5,25.4,0.5
ayran,57.6,3.0,2.5,4.9,0.0
french fries,312.2,3.3,14.8,42.0,3.7
aloo gosht,173.2,13.0,10.4,9.4,1.3
chicken karahi,211.1,20.2,12.5,2.9,0.5
orange,47.4,0.9,0.1,11.7,2.4
cottage cheese,97.9,11.4,4.3,3.3,0.0
paneer,276.7,18.4,21.6,1.2,0.0
avocado toast,251.5,6.1,14.7,21.0,6.2
seekh kebab,214.8,18.5,14.4,2.0,0.5
turkish bread,269.7,9.0,3.6,52.9,2.0
mango,60.8,0.8,0.4,14.9,1.6
chapli kebab,290.9,17.7,19.5,5.1,0.5
seekh kebab,223.9,19.2,14.4,2.1,0.5
lassi,67.5,3.4,3.6,6.2,0.0
steak,259.7,25.0,18.4,0.0,0.0
dal makhani,180.4,9.4,8.0,20.8,4.8
chicken tikka,182.8,24.5,8.6,2.0,0.3
cereal,150.4,2.9,2.0,30.1,2.5
whole wheat bread,235.0,13.4,4.4,39.3,6.8
whole wheat bread,258.7,13.2,4.1,39.1,7.3
dahi,58.1,3.5,3.3,4.5,0.0
saag,59.4,3.5,3.1,6.1,2.5
broccoli,34.2,2.7,0.4,6.5,2.7
kidney beans,131.8,9.0,0.5,21.8,6.6
kheer,155.9,3.9,5.1,21.2,0.2
paneer,262.5,17.9,21.2,1.2,0.0
palak paneer,225.4,11.5,15.1,8.3,3.0
apple,50.4,0.3,0.2,14.4,2.3
kidney beans,129.0,8.5,0.5,22.1,6.6
pancakes,231.7,6.2,7.0,34.8,1.5
cottage cheese,100.0,11.0,4.5,3.3,0.0
carrot,41.8,0.9,0.2,9.9,2.8
chai,41.8,1.4,2.0,4.4,0.0
dates,286.2,1.8,0.2,72.1,6.6
oatmeal,151.1,6.1,3.2,26.4,4.0
chicken karahi,208.6,20.8,12.4,2.9,0.5
watermelon,28.7,0.6,0.2,7.8,0.4
protein shake,160.4,31.2,3.1,8.0,1.0
orange,46.1,0.9,0.1,11.6,2.5
paneer,255.0,18.5,20.7,1.1,0.0
halwa puri,370.5,5.8,18.3,45.7,1.4
kidney beans,125.5,8.4,0.5,22.1,6.6
chicken karahi,208.5,20.8,13.3,3.1,0.5
shawarma,240.4,17.9,11.4,16.7,1.2
mutton,292.6,26.1,20.4,0.0,0.0
black tea,2.0,0.0,0.0,0.4,0.0
paye,190.8,16.2,11.5,2.1,0.0
halwa puri,380.5,5.8,18.0,50.1,1.4
roti,265.6,7.8,3.7,55.1,2.7
butter chicken,243.6,22.6,13.4,6.0,0.5
honey,308.0,0.3,0.0,82.9,0.2
chickpeas,171.1,9.2,2.6,28.6,7.9
hummus,181.2,8.1,9.7,15.7,6.3
boiled eggs,158.5,12.5,11.1,1.1,0.0
broccoli,32.7,2.8,0.4,6.4,2.7
cereal,150.3,3.0,2.0,28.8,2.4
shawarma,235.2,18.1,11.2,16.8,1.2
carrot,42.6,0.9,0.2,10.3,2.8
shawarma,223.5,17.7,10.6,16.2,1.1
broccoli,33.4,2.9,0.4,6.4,2.7
french fries,322.2,3.5,14.3,39.2,3.8
onion,38.9,1.1,0.1,9.5,1.7
aloo gosht,176.2,13.3,9.7,9.3,1.2
green tea,2.0,0.0,0.0,0.5,0.0
naan,314.5,8.8,5.8,59.4,2.0
paratha,336.4,7.7,14.2,41.8,2.0
soup,71.9,3.8,2.0,10.1,1.5
dates,277.2,1.9,0.2,71.7,6.6
chicken biryani,210.8,14.6,8.4,26.8,0.9
greek yogurt,100.6,16.8,0.7,5.8,0.0
grilled chicken,166.5,32.3,3.4,0.0,0.0
apple,51.3,0.3,0.2,14.6,2.3
hummus,184.5,7.7,10.2,15.7,6.2
hummus,173.0,7.9,10.4,16.6,6.2
raita,61.8,2.9,3.6,4.5,0.0
jalebi,390.1,2.0,9.6,65.4,0.3
brown rice,116.2,2.7,0.9,24.0,1.9
beef pulao,217.9,13.5,6.8,26.2,0.8
green tea,2.1,0.0,0.0,0.5,0.0
honey,291.8,0.3,0.0,84.6,0.2
grilled salmon,198.1,19.9,12.9,0.0,0.0
omelette,160.1,11.2,11.3,1.6,0.0
apple,51.5,0.3,0.2,14.7,2.4
chana,157.5,9.0,2.7,26.3,7.6
pulao,178.5,5.9,5.0,27.9,0.8
aloo paratha,335.5,7.0,13.1,43.9,2.3
onion,39.2,1.1,0.1,9.4,1.6
falafel,334.0,12.8,18.3,31.1,5.9
kidney beans,123.6,8.3,0.5,23.5,6.2
falafel,319.9,12.4,17.4,32.0,6.2
oatmeal,159.1,5.7,3.3,28.3,4.0
chicken karahi,202.2,19.7,13.1,2.9,0.5
paneer,267.3,19.2,21.4,1.2,0.0
aloo gosht,171.3,13.3,9.8,8.9,1.2
nihari,178.4,15.2,10.6,4.0,0.5
white rice,130.6,2.8,0.3,28.8,0.4
chicken tikka,181.5,25.3,9.1,2.1,0.3
chai,39.0,1.4,2.0,4.5,0.0
aloo gosht,171.9,13.2,10.0,8.8,1.2
chai,39.2,1.4,2.0,4.6,0.0
dahi,60.4,3.6,3.2,4.8,0.0
falafel,323.1,13.3,17.2,31.0,6.0
seekh kebab,219.8,18.8,15.1,1.9,0.5
chicken karahi,209.6,20.6,13.2,2.9,0.5
pizza slice,263.6,10.6,9.8,32.2,2.3
aloo paratha,314.6,7.0,13.5,48.1,2.2
pulao,173.5,5.8,5.0,28.2,0.8
broccoli,33.8,2.8,0.4,6.5,2.6
baklava,336.5,4.8,18.6,38.1,1.5
fish,131.5,20.5,6.1,0.0,0.0
potato,76.6,1.9,0.1,16.2,2.3
cereal,154.0,3.0,2.0,30.7,2.4
egg,149.3,13.3,11.4,1.1,0.0
kidney beans,127.0,8.5,0.5,21.7,6.5
boiled eggs,149.4,13.0,10.6,1.1,0.0
chickpeas,157.1,8.6,2.6,27.6,7.9
lentils,114.6,9.2,0.4,19.3,8.2
paratha,331.5,7.9,14.1,44.9,2.2
ayran,54.5,2.9,2.6,4.8,0.0
lentils,110.3,9.4,0.4,20.4,8.3
mutton,288.5,23.8,20.8,0.0,0.0
orange,48.8,0.9,0.1,12.1,2.3
chicken karahi,200.8,19.9,13.0,2.9,0.5
sandwich,249.2,11.6,9.4,33.4,2.0
tomato,18.0,0.9,0.2,3.8,1.2
milk,60.0,3.2,3.3,5.0,0.0
grilled salmon,200.1,20.1,12.4,0.0,0.0
paneer,273.6,17.8,20.2,1.2,0.0
pancakes,225.0,5.8,6.9,35.0,1.6
carrot,42.1,0.9,0.2,10.5,2.8
fish,134.1,20.7,6.2,0.0,0.0
peanut butter toast,283.3,9.5,14.3,26.8,2.9
shami kebab,208.4,15.8,13.9,7.1,1.0
qorma,253.0,17.6,16.0,7.8,0.5
orange,44.8,0.9,0.1,11.6,2.4
avocado toast,234.0,6.1,15.3,22.2,5.9
paye,177.4,16.6,11.8,2.0,0.0
dal makhani,177.9,9.4,7.9,19.1,5.1
kheer,154.1,3.8,4.9,23.1,0.2
soup,74.9,4.2,2.0,10.3,1.5
oatmeal,152.1,6.3,3.2,26.5,4.1
chicken biryani,220.2,14.7,8.3,25.7,0.9
peanuts,557.8,24.6,46.8,15.3,8.6
chicken wings,293.6,26.7,18.5,0.0,0.0
kheer,151.0,4.0,5.0,22.4,0.2
soup,74.0,3.9,2.1,10.1,1.6
kidney beans,128.9,8.9,0.5,21.8,6.2
ayran,55.0,2.9,2.5,4.9,0.0
lassi,70.2,3.4,3.6,6.5,0.0
chicken wings,277.7,26.1,19.4,0.0,0.0
peanut butter toast,258.5,10.1,14.5,27.1,3.0
orange juice,110.6,1.7,0.5,24.7,0.5
potato,76.3,2.0,0.1,16.9,2.3
falafel,321.4,13.0,17.5,32.9,6.2
pide,279.8,10.8,8.7,41.5,2.0
avocado toast,250.1,6.1,14.5,22.5,5.9
falafel,343.0,13.3,17.7,32.8,6.2
brown rice,108.7,2.6,0.9,23.0,1.7
cottage cheese,101.9,11.2,4.4,3.3,0.0
mixed vegetables,52.7,2.6,0.5,10.2,3.5
hummus,176.9,7.7,10.0,15.4,5.8
dahi,59.9,3.5,3.2,4.8,0.0
halwa puri,386.2,6.1,18.2,45.7,1.5
hummus,168.3,7.9,10.5,15.8,5.8
aloo gosht,175.5,13.2,9.6,8.9,1.2
tomato,18.6,0.9,0.2,3.7,1.2
dates,285.1,1.9,0.2,77.9,6.4
naan,311.2,9.2,5.7,56.8,2.1
spinach,23.9,3.0,0.4,3.5,2.1
dahi,61.7,3.6,3.1,4.8,0.0
honey,307.9,0.3,0.0,81.9,0.2
paratha,315.2,7.2,14.0,43.6,2.1
protein shake,157.2,30.7,3.0,7.7,1.0
black tea,2.0,0.0,0.0,0.4,0.0
tomato,17.2,0.9,0.2,3.9,1.2
halwa puri,362.2,5.9,17.9,50.2,1.6
boiled eggs,149.5,13.3,11.5,1.1,0.0
omelette,150.4,11.5,11.2,1.6,0.0
doner kebab,248.2,20.9,12.5,18.9,1.6
carrot,40.2,0.9,0.2,10.5,2.8
peanuts,563.3,24.6,49.7,15.3,8.3
naan,303.7,8.7,6.1,58.0,1.9
butter chicken,229.3,22.5,13.5,5.7,0.5
butter chicken,228.8,21.5,14.1,6.0,0.5
butter chicken,230.6,21.5,13.7,6.1,0.5
saag,62.0,3.5,2.9,6.1,2.4
oatmeal,155.0,6.0,3.3,27.7,3.9
potato,79.0,2.0,0.1,17.5,2.2
mutton biryani,220.9,15.6,9.9,27.2,0.8
egg,149.2,12.4,11.1,1.1,0.0
lentil soup,132.3,7.7,2.5,19.6,5.2
paratha,336.1,7.3,14.4,41.3,2.2
chapli kebab,293.3,17.9,20.7,4.9,0.5
seekh kebab,230.9,19.9,14.3,2.0,0.5
avocado toast,235.6,5.9,14.9,21.0,6.2
mutton biryani,233.5,15.7,10.3,27.7,0.8
halwa puri,372.2,6.1,17.4,46.2,1.5
lentils,115.4,9.3,0.4,20.4,7.9
pasta,224.5,8.4,5.0,39.4,2.5
shawarma,222.7,18.2,10.6,16.1,1.2
chickpeas,163.0,8.7,2.6,26.5,7.8
hummus,176.8,8.0,10.2,16.6,6.0
aloo paratha,321.0,7.2,13.3,44.8,2.3
hummus,170.9,7.7,9.9,16.4,5.7
pasta,213.4,8.1,5.2,36.3,2.4
ayran,55.8,3.0,2.4,5.0,0.0
orange,46.4,0.9,0.1,11.8,2.5
chicken biryani,218.4,14.1,8.1,26.6,0.9
mac and cheese,328.6,11.8,12.8,41.3,1.5
whole wheat bread,254.7,13.1,4.3,40.3,7.2
mac and cheese,319.6,12.3,13.1,38.9,1.5
chapli kebab,273.2,18.7,20.8,4.8,0.5
chicken breast,160.8,31.1,3.6,0.0,0.0
whole wheat bread,254.1,12.8,4.2,41.6,7.0
peanuts,547.7,25.9,47.5,16.4,8.5
mac and cheese,334.9,12.3,13.4,38.9,1.5
sandwich,239.2,11.6,9.4,31.8,1.9
chapli kebab,287.3,18.7,20.6,5.0,0.5
hummus,174.5,8.3,9.7,15.5,5.7
watermelon,29.5,0.6,0.2,7.4,0.4
spinach,23.2,2.8,0.4,3.7,2.1
mutton,291.6,24.2,21.4,0.0,0.0
paye,179.5,17.5,12.1,1.9,0.0
mac and cheese,318.6,12.1,12.9,39.6,1.6
sandwich,245.1,11.7,9.3,31.4,1.9
chicken breast,161.6,30.7,3.5,0.0,0.0
chapli kebab,281.8,17.3,19.6,5.0,0.5
qorma,258.8,18.7,15.3,8.0,0.5
almonds,595.6,21.3,50.4,20.9,12.6
milk,59.0,3.2,3.3,4.9,0.0
roti,256.6,8.4,3.7,50.8,2.6
paratha,323.2,7.6,13.6,43.8,2.1
mixed vegetables,53.7,2.4,0.5,10.5,3.5
naan,331.9,9.1,6.0,58.4,1.9
baklava,321.4,5.1,17.3,40.0,1.5
tomato,17.2,0.9,0.2,3.8,1.2
steak,283.9,25.7,17.5,0.0,0.0
biryani,202.0,8.7,7.3,28.8,0.8
paratha,338.5,7.4,14.2,41.5,2.2
pulao,184.1,6.1,4.9,29.1,0.8
biryani,195.4,9.3,7.2,26.8,0.8
qorma,247.8,18.1,15.2,7.7,0.5
brown rice,114.1,2.6,0.9,22.7,1.8
chicken wings,299.4,28.0,19.8,0.0,0.0
beef tacos,223.6,11.9,10.5,20.6,3.1
palak paneer,210.3,12.6,14.4,7.9,3.0
pasta,214.8,8.4,5.2,36.8,2.4
pizza slice,253.4,11.2,10.2,32.7,2.3
pizza slice,268.7,11.5,9.8,33.6,2.3
paneer,266.6,17.4,20.4,1.2,0.0
dahi,59.7,3.4,3.2,4.8,0.0
kofte,251.9,18.6,16.7,5.0,0.5
chicken biryani,212.9,13.3,8.3,25.2,0.9
mango,62.3,0.8,0.4,15.6,1.6
qorma,242.1,17.8,16.7,7.8,0.5
white rice,128.5,2.7,0.3,28.7,0.4
paneer,274.6,19.1,20.0,1.2,0.0
chicken biryani,210.4,14.2,7.9,26.1,0.9
soup,74.4,3.9,2.0,10.3,1.5
whole wheat bread,237.5,13.0,4.0,40.1,6.9
halwa,314.8,3.0,14.1,47.9,1.0
sweet potato,89.4,1.6,0.1,20.8,3.0
ayran,56.4,3.0,2.5,4.9,0.0
chicken karahi,219.8,19.4,12.8,2.9,0.5
pulao,176.8,6.2,4.8,28.5,0.8
greek yogurt,102.4,17.7,0.7,5.9,0.0
qorma,250.6,18.4,15.4,8.1,0.5
chicken breast,163.7,31.4,3.4,0.0,0.0
broccoli,32.3,2.8,0.4,6.4,2.6
sandwich,244.3,12.6,8.7,33.3,1.9
paratha,339.1,7.6,13.7,43.2,2.0
aloo paratha,321.9,6.7,12.8,47.7,2.2
shawarma,236.7,17.3,11.3,16.7,1.2
chicken karahi,213.0,20.2,13.2,3.1,0.5
qorma,246.5,17.2,16.3,8.3,0.5
turkish bread,273.2,9.3,3.6,50.2,2.1
oatmeal,164.1,6.2,3.1,26.5,3.9
daal,118.2,8.2,0.4,20.0,7.9
avocado toast,230.2,6.0,15.7,21.6,5.8
steak,264.9,26.8,18.7,0.0,0.0
kofte,235.3,18.6,16.2,5.0,0.5
omelette,158.4,10.8,10.9,1.5,0.0
brown rice,107.2,2.5,0.9,24.3,1.9
onion,38.5,1.1,0.1,9.1,1.7
spinach,22.8,3.0,0.4,3.7,2.2
halwa,308.4,3.1,14.4,46.2,1.0
carrot,42.7,0.9,0.2,9.6,2.7
dal makhani,176.6,9.4,7.8,19.3,4.9
chai,41.2,1.5,1.9,4.5,0.0
egg,161.6,12.5,11.3,1.1,0.0
baklava,336.2,4.8,17.4,40.8,1.5
grilled chicken,167.9,30.5,3.6,0.0,0.0
beef pulao,216.1,14.5,7.1,26.7,0.8
biryani,206.4,8.6,7.3,28.4,0.8
honey,303.9,0.3,0.0,79.6,0.2
fish,142.2,19.1,5.8,0.0,0.0
avocado toast,242.2,6.2,15.6,21.4,5.7
halwa puri,390.8,6.2,18.0,47.8,1.6
lentil soup,132.9,7.9,2.5,19.6,4.8
sandwich,239.6,12.1,9.1,33.2,2.0
kofte,244.3,19.9,15.3,5.1,0.5
chickpeas,164.3,8.7,2.6,26.2,7.9
broccoli,33.9,2.8,0.4,6.6,2.6
butter chicken,251.0,22.2,13.5,6.1,0.5
pizza slice,268.3,11.1,10.5,33.1,2.3
dates,274.9,1.8,0.2,75.9,7.0
lassi,69.6,3.5,3.4,6.4,0.0
halwa,314.5,2.9,14.4,49.1,1.0
sweet potato,89.2,1.7,0.1,19.5,3.1
lassi,69.4,3.4,3.5,6.7,0.0
omelette,156.3,10.5,10.5,1.7,0.0
kidney beans,133.1,8.8,0.5,22.1,6.6
chicken breast,163.1,31.9,3.6,0.0,0.0
white rice,130.6,2.6,0.3,27.6,0.4
watermelon,29.3,0.6,0.2,7.4,0.4
chicken biryani,203.5,13.9,7.9,27.1,0.9
banana,86.3,1.1,0.3,22.2,2.7
chicken tikka,193.6,25.8,9.4,1.9,0.3
seekh kebab,211.0,19.2,15.2,2.0,0.5
pide,294.4,10.7,9.2,41.8,1.9
orange,45.6,0.9,0.1,12.4,2.5
tomato,17.9,0.9,0.2,3.8,1.3
burger,291.0,17.4,14.4,22.9,1.6
paye,193.2,16.8,11.5,2.0,0.0
banana,88.4,1.1,0.3,21.9,2.6
turkish bread,259.9,8.8,3.5,50.0,2.0
shawarma,221.4,17.3,11.1,15.3,1.2
burger,292.4,17.6,14.3,24.9,1.5
daal,111.1,7.6,0.4,19.6,7.7
beef tacos,225.5,12.3,11.5,20.6,3.1
boiled eggs,155.4,13.2,11.3,1.1,0.0
mutton,290.8,25.2,21.8,0.0,0.0
shawarma,241.3,17.9,10.5,16.2,1.1
french fries,318.6,3.6,15.5,41.7,3.9
falafel,324.2,13.2,17.7,33.5,6.1
avocado toast,247.0,5.7,14.8,22.8,6.2
chapli kebab,282.6,17.4,20.7,5.0,0.5
kidney beans,129.9,8.9,0.5,23.4,6.6
avocado toast,246.5,6.2,15.6,21.7,5.8
cottage cheese,102.1,11.1,4.4,3.3,0.0
kidney beans,121.8,9.1,0.5,21.9,6.2
butter chicken,251.6,22.2,14.1,6.2,0.5
milk,62.0,3.3,3.2,4.8,0.0
palak paneer,218.9,12.3,15.0,8.0,3.1
bread,260.8,9.2,3.0,50.5,2.6
chicken biryani,208.4,14.1,8.3,26.3,0.9
aloo paratha,325.8,6.7,13.3,46.3,2.4
broccoli,35.6,2.8,0.4,6.8,2.5
peanut butter toast,282.1,10.4,14.3,26.7,2.9
hummus,181.7,7.7,9.8,15.7,5.8
kofte,243.8,18.9,15.8,5.0,0.5
dal makhani,179.8,8.8,8.3,20.8,4.8
chicken wings,281.1,27.3,18.1,0.0,0.0
boiled eggs,150.3,12.9,10.7,1.1,0.0
green tea,2.1,0.0,0.0,0.5,0.0
chicken biryani,210.7,13.9,8.0,25.2,0.9
kofte,250.9,19.3,15.3,5.1,0.5
sandwich,246.1,12.1,8.9,32.9,2.1
chai,38.2,1.5,1.9,4.7,0.0
peanut butter toast,282.7,9.5,13.4,26.7,3.1
almonds,603.2,21.4,49.9,22.2,12.3
kidney beans,131.9,8.7,0.5,23.0,6.7
protein shake,159.7,28.7,3.1,8.3,1.0
burger,307.3,17.2,14.5,24.6,1.5
white rice,135.2,2.8,0.3,28.1,0.4
turkish bread,258.7,9.3,3.5,51.5,2.1
mango,59.8,0.8,0.4,15.2,1.5
pizza slice,253.8,10.8,10.2,33.0,2.3
halwa,325.8,2.9,13.4,49.4,1.0
naan,318.6,8.9,5.7,54.6,2.1
ayran,52.4,3.0,2.4,4.9,0.0
white rice,128.1,2.8,0.3,27.9,0.4
honey,305.4,0.3,0.0,79.8,0.2
kheer,152.9,4.1,5.1,21.8,0.2
dahi,58.7,3.4,3.3,4.8,0.0
boiled eggs,155.0,13.3,11.0,1.1,0.0
soup,77.9,4.1,2.0,9.6,1.5
steak,267.5,26.4,17.4,0.0,0.0
steak,274.2,25.9,18.4,0.0,0.0
peanuts,544.2,26.5,49.4,15.9,8.7
fish,138.8,19.6,5.8,0.0,0.0
aloo gosht,183.6,13.3,9.8,8.9,1.2
carrot,42.7,0.9,0.2,9.9,2.9
pulao,175.7,5.9,5.2,27.9,0.8
chickpeas,164.5,8.8,2.6,27.6,7.9
aloo paratha,335.4,6.7,12.8,44.5,2.4
grilled salmon,206.3,20.1,13.1,0.0,0.0
grilled salmon,204.4,20.2,13.4,0.0,0.0
bread,270.7,9.1,3.1,50.4,2.7
daal,117.9,7.7,0.4,19.2,7.5
aloo paratha,309.9,6.9,12.6,48.2,2.3
hummus,169.2,8.2,10.1,16.0,6.2
paneer,263.5,17.9,20.1,1.2,0.0
saag,61.4,3.5,2.9,5.8,2.6
mutton,293.5,25.5,21.9,0.0,0.0
mixed vegetables,53.3,2.6,0.5,10.0,3.7
green tea,1.9,0.0,0.0,0.5,0.0
mixed vegetables,55.6,2.5,0.5,9.8,3.6
whole wheat bread,249.0,12.4,4.3,39.2,7.2
green tea,2.1,0.0,0.0,0.5,0.0
mac and cheese,318.7,11.6,12.4,38.6,1.6
tomato,17.4,0.9,0.2,4.0,1.2
falafel,349.5,12.7,18.6,31.0,6.1
boiled eggs,159.9,12.6,10.5,1.1,0.0
kidney beans,126.1,8.8,0.5,21.9,6.7
banana,93.0,1.1,0.3,22.0,2.6
chana masala,170.2,9.1,2.7,27.7,7.4
black tea,2.0,0.0,0.0,0.4,0.0
pulao,174.6,5.9,5.0,27.2,0.8
halwa puri,370.3,5.8,18.1,45.9,1.5
mutton biryani,233.8,15.6,10.2,27.2,0.8
chai,41.9,1.5,2.0,4.7,0.0
milk,60.9,3.4,3.4,4.7,0.0
chicken karahi,211.6,19.6,13.3,3.0,0.5
daal,115.7,8.1,0.4,19.4,8.0
burger,291.0,17.5,13.5,24.9,1.6
almonds,572.6,21.1,49.9,21.4,12.6
chicken tikka,194.8,26.1,9.0,2.0,0.3
apple,52.3,0.3,0.2,13.5,2.3
pancakes,231.6,6.2,7.0,36.1,1.5
mixed vegetables,53.6,2.6,0.5,10.5,3.3
peanuts,555.0,26.1,46.9,15.9,8.1
boiled eggs,153.4,13.1,11.4,1.1,0.0
chicken wings,278.5,27.8,19.2,0.0,0.0
mutton,308.7,24.8,20.7,0.0,0.0
grilled chicken,163.9,30.4,3.7,0.0,0.0
shawarma,238.1,17.2,11.5,16.0,1.2
chana masala,164.6,8.8,2.7,26.2,7.3
onion,38.2,1.1,0.1,9.1,1.6
chai,40.9,1.5,1.9,4.5,0.0
halwa puri,371.5,6.1,18.1,47.2,1.6
black tea,1.9,0.0,0.0,0.4,0.0
spinach,24.1,2.8,0.4,3.7,2.1
spinach,24.0,2.9,0.4,3.6,2.2
pancakes,234.5,5.7,6.8,36.5,1.5
saag,59.5,3.6,3.1,5.7,2.4
chapli kebab,286.2,18.3,21.0,4.9,0.5
aloo paratha,320.9,6.7,12.9,43.8,2.4
orange juice,114.9,1.6,0.5,24.7,0.5
doner kebab,250.5,20.1,12.4,18.0,1.4
milk,62.2,3.2,3.4,4.6,0.0
orange juice,111.7,1.8,0.5,25.9,0.5
omelette,156.5,11.1,11.2,1.6,0.0
mango,58.5,0.8,0.4,15.5,1.6
apple,51.0,0.3,0.2,13.5,2.4
turkish bread,270.7,9.3,3.5,50.6,2.1
palak paneer,212.9,11.6,14.5,8.0,3.1
seekh kebab,228.1,19.0,15.6,2.0,0.5
chicken breast,163.0,31.8,3.7,0.0,0.0
mixed vegetables,55.0,2.6,0.5,9.8,3.5
peanut butter toast,263.3,10.2,13.4,27.0,3.1
tomato,18.7,0.9,0.2,4.0,1.2
sweet potato,85.0,1.6,0.1,19.1,3.0
orange,45.3,0.9,0.1,11.5,2.4
lassi,68.4,3.6,3.4,6.5,0.0
black tea,1.9,0.0,0.0,0.4,0.0
roti,263.3,8.0,3.6,55.0,2.7
bread,261.4,9.3,3.3,49.5,2.8
halwa,332.9,2.9,13.9,47.1,1.0
boiled eggs,158.2,12.6,10.7,1.1,0.0
paye,181.2,16.9,12.1,1.9,0.0
